Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GGP,W,L,T/O,SV%,GAA,PS,hrId
1,Pittsburgh Penguins,Marc-Andre Fleury,CA,G,18,2024,Cape Breton Screaming Eagles (QMJHL),1025,0,22,22,0,84,1025,561,330,96,.912,2.60,178.9,fleurma01
2,Carolina Hurricanes,Eric Staal,CA,C,18,2023,Peterborough Petes (OHL),1365,455,608,1063,-83,854,,,,,,,115.2,staaler01
3,Florida Panthers,Nathan Horton,CA,RW,18,2014,Oshawa Generals (OHL),627,203,218,421,54,567,,,,,,,49.5,hortona01
4,Columbus Blue Jackets,Nikolai Zherdev,UA,W,18,2011,CSKA Moskva (Russia),421,115,146,261,-41,225,,,,,,,27.1,zherdni01
5,Buffalo Sabres,Thomas Vanek,AT,LW,19,2019,Minnesota (WCHA),1029,373,416,789,5,547,,,,,,,95.9,vanekth01
6,San Jose Sharks,Milan Michalek,CZ,RW,18,2017,HC Ceske Budejovice (Czech),747,208,238,446,13,394,,,,,,,48.8,michami01
7,Nashville Predators,Ryan Suter,US,D,18,2024,USA U-18 Development Team (USDP/NAHL),1444,105,576,681,120,761,,,,,,,128.6,suterry01
8,Atlanta Thrashers,Braydon Coburn,CA,D,18,2021,Portland Winter Hawks (WHL),983,49,185,234,46,720,,,,,,,47.7,coburbr01
9,Calgary Flames,Dion Phaneuf,CA,D,18,2019,Red Deer Rebels (WHL),1048,137,357,494,-57,1345,,,,,,,86.6,phanedi01
10,Montreal Canadiens,Andrei Kostitsyn,BY,LW,18,2012,CSKA Moskva 2 (Russia-3),398,103,119,222,15,181,,,,,,,25.8,kostian01
11,Philadelphia Flyers,Jeff Carter,CA,C,18,2024,Soo Greyhounds (OHL),1321,442,409,851,9,635,,,,,,,101.2,carteje01
12,New York Rangers,Hugh Jessiman,US,RW,19,2011,Dartmouth (ECAC),2,0,0,0,-1,5,,,,,,,-0.1,jessihu01
13,Los Angeles Kings,Dustin Brown,US,RW,18,2022,Guelph Storm (OHL),1296,325,387,712,-36,738,,,,,,,72.8,browndu01
14,Chicago Blackhawks,Brent Seabrook,CA,D,18,2020,Lethbridge Hurricanes (WHL),1114,103,361,464,111,661,,,,,,,88.5,seabrbr01
15,New York Islanders,Robert Nilsson,CA,C,18,2010,Leksands IF (Sweden),252,37,81,118,-15,90,,,,,,,9.5,nilssro01
16,San Jose Sharks,Steve Bernier,CA,RW,18,2018,Moncton Wildcats (QMJHL),637,105,125,230,-15,300,,,,,,,21.6,bernist01
17,New Jersey Devils,Zach Parise,US,LW,19,2024,North Dakota (WCHA),1254,434,455,889,76,444,,,,,,,108.2,parisza01
18,Washington Capitals,Eric Fehr,CA,RW,18,2019,Brandon Wheat Kings (WHL),652,113,108,221,49,217,,,,,,,23.9,fehrer01
19,Anaheim Ducks,Ryan Getzlaf,CA,C,18,2022,Calgary Hitmen (WHL),1157,282,737,1019,102,960,,,,,,,106.5,getzlry01
20,Minnesota Wild,Brent Burns,CA,RW,18,2024,Brampton Battalion (OHL),1415,255,626,881,4,827,,,,,,,149.9,burnsbr01
21,Boston Bruins,Mark Stuart,US,D,19,2017,Colorado College (WCHA),673,26,67,93,43,722,,,,,,,25.0,stuarma01
22,Edmonton Oilers,Marc Pouliot,CA,C,18,2012,Rimouski Oceanic (QMJHL),192,21,36,57,-9,76,,,,,,,4.0,poulima01
23,Vancouver Canucks,Ryan Kesler,US,C,19,2019,Ohio State (CCHA),1001,258,315,573,10,920,,,,,,,59.1,keslery01
24,Philadelphia Flyers,Mike Richards,CA,C,18,2016,Kitchener Rangers (OHL),749,181,306,487,16,585,,,,,,,50.2,richami02
25,Florida Panthers,Anthony Stewart,CA,RW,18,2012,Kingston Frontenacs (OHL),262,27,44,71,-16,123,,,,,,,5.7,stewaan01
26,Los Angeles Kings,Brian Boyle,US,C,18,2022,St. Sebastian's School (High-MA),871,141,111,252,-42,615,,,,,,,22.3,boylebr01
27,Los Angeles Kings,Jeff Tambellini,CA,LW,19,2011,Michigan (CCHA),242,27,36,63,-20,88,,,,,,,3.9,tambeje01
28,Anaheim Ducks,Corey Perry,CA,RW,18,2024,London Knights (OHL),1311,429,476,905,45,1426,,,,,,,107.7,perryco01
29,Ottawa Senators,Patrick Eaves,CA,RW,19,2019,Boston College (H-East),633,132,110,242,4,210,,,,,,,25.5,eavespa01
30,St. Louis Blues,Shawn Belle,CA,D,18,2011,Tri-City Americans (WHL),20,0,1,1,1,2,,,,,,,0.5,bellesh01
31,Carolina Hurricanes,Danny Richmond,US,D,19,2008,Michigan (CCHA),49,0,3,3,-12,75,,,,,,,-0.1,richmda01
32,Pittsburgh Penguins,Ryan Stone,CA,C,18,2010,Brandon Wheat Kings (WHL),35,0,7,7,2,55,,,,,,,0.2,stonery01
33,Dallas Stars,Loui Eriksson,SE,LW,18,2022,Vastra Frolunda HC Jr. (Sweden Jr.),1050,253,360,613,16,200,,,,,,,64.0,erikslo01
34,Tampa Bay Lightning,Mike Egener,DE,D,18,,Calgary Hitmen (WHL),,,,,,,,,,,,,,egenemi01
35,Nashville Predators,Konstantin Glazachev,RU,LW,18,,Lokomotiv Yaroslavl (Russia),,,,,,,,,,,,,,glazako01
36,Dallas Stars,Vojtech Polak,CZ,LW,18,2007,HC Energie Karlovy Vary (Czech),5,0,0,0,-2,0,,,,,,,-0.1,polakvo01
