id,playerId,draftedByTeamId,teamPickHistory
7051,8447883,8,MTL
7052,8449062,17,DET
7053,"",6,BOS
7054,"",3,NYR
7055,"",16,CHI
7056,8449440,10,TOR
7057,"",8,MTL
7058,"",17,DET
7059,"",6,BOS
7060,"",3,NYR
7061,"",16,CHI
7062,"",10,TOR
7063,"",8,MTL
7064,"",6,BOS
7065,"",3,NYR
7066,8450159,16,CHI
7067,8449476,10,TOR
7068,"",8,MTL
7069,"",6,BOS
7070,"",3,NYR
7071,8447829,10,TOR
7072,"",17,DET
7073,"",6,BOS
7074,"",3,NYR
7075,"",16,CHI
7076,8447629,10,TOR
7077,"",8,MTL
7078,8449373,17,DET
7079,"",6,BOS
7080,8445998,3,NYR
7081,"",16,CHI
7082,"",10,TOR
7083,"",8,MTL
7084,"",17,DET
7085,8446490,6,BOS
7086,"",3,NYR
7087,"",16,CHI
7088,8448130,10,TOR
7089,"",8,MTL
7090,8447362,17,DET
7091,"",6,BOS
7092,8445022,3,NYR
7093,8447259,16,CHI
7094,8446444,10,TOR
7095,"",8,MTL
7096,"",3,NYR
7097,"",16,CHI
7098,"",17,DET
7099,"",6,BOS
7100,8445612,8,MTL
7101,"",3,NYR
7102,"",16,CHI
7103,"",17,DET
7104,"",6,BOS
7105,8450198,3,NYR
7106,8447154,6,BOS
7107,8450206,3,NYR
7108,8445304,16,CHI
7109,8449604,10,TOR
7110,8449784,8,MTL
7111,8444984,17,DET
7112,8451538,6,BOS
7113,8447105,3,NYR
7114,"",16,CHI
7115,"",10,TOR
7116,"",8,MTL
7117,"",17,DET
7118,8444997,6,BOS
7119,8448892,3,NYR
7120,"",16,CHI
7121,8448838,10,TOR
7122,8446482,8,MTL
7123,"",17,DET
7124,8452360,6,BOS
7125,8446141,3,NYR
7126,"",16,CHI
7127,"",10,TOR
7128,"",8,MTL
7129,"",17,DET
7130,"",26,LAK
7131,"",5,PIT
7132,"",46,OAK
7133,"",31,MNS
7134,8445446,4,PHI
7135,"",3,NYR
7136,"",16,CHI
7137,"",8,MTL
7138,"",17,DET
7139,"",6,BOS
7140,"",5,PIT
7141,"",46,OAK
7142,"",31,MNS
7143,"",4,PHI
7144,"",3,NYR
7145,8448434,10,TOR
7146,8447138,17,DET
7147,"",46,OAK
7148,8450468,8,MTL
7149,"",8,MTL
7150,"",8,MTL
7151,8449209,5,PIT
7152,"",31,MNS
7153,8446602,19,STL
7154,"",26,LAK
7155,8447897,4,PHI
7156,8449166,16,CHI
7157,8451296,10,TOR
7158,8444933,17,DET
7159,8448935,6,BOS
7160,"",46,OAK
7161,8449092,5,PIT
7162,"",31,MNS
7163,8445400,19,STL
7164,"",17,DET
7165,"",6,BOS
7166,"",3,NYR
7167,"",46,OAK
7168,"",5,PIT
7169,"",31,MNS
7170,"",8,MTL
7171,"",6,BOS
7172,8447988,8,MTL
7173,8451856,8,MTL
7174,8449215,6,BOS
7175,8449139,6,BOS
7176,8450737,31,MNS
7177,"",4,PHI
7178,8446196,46,OAK
7179,8446530,3,NYR
7180,"",10,TOR
7181,8451076,17,DET
7182,8445591,6,BOS
7183,8447049,3,NYR
7184,8445600,16,CHI
7185,8448040,31,MNS
7186,8447168,5,PIT
7187,8447930,26,LAK
7188,8446098,4,PHI
7189,8451624,46,OAK
7190,"",19,STL
7191,8445164,10,TOR
7192,8447070,17,DET
7193,"",6,BOS
7194,8452466,3,NYR
7195,8448438,16,CHI
7196,8447170,31,MNS
7197,8445163,5,PIT
7198,8445104,26,LAK
7199,8445179,4,PHI
7200,8448047,46,OAK
7201,"",19,STL
7202,8447787,10,TOR
7203,8449004,8,MTL
7204,"",17,DET
7205,"",6,BOS
7206,8449715,3,NYR
7207,"",16,CHI
7208,8448043,31,MNS
7209,8448595,5,PIT
7210,8456962,26,LAK
7211,8449811,4,PHI
7212,"",46,OAK
7213,8449222,19,STL
7214,8446963,10,TOR
7215,8444926,8,MTL
7216,"",17,DET
7217,"",6,BOS
7218,"",3,NYR
7219,8449034,16,CHI
7220,"",31,MNS
7221,"",5,PIT
7222,8447296,26,LAK
7223,8451245,4,PHI
7224,"",46,OAK
7225,"",19,STL
7226,8451614,10,TOR
7227,"",8,MTL
7228,"",17,DET
7229,"",6,BOS
7230,8451529,3,NYR
7231,8445035,16,CHI
7232,"",31,MNS
7233,8449996,5,PIT
7234,8446378,8,MTL
7235,8451100,4,PHI
7236,8449877,46,OAK
7237,"",19,STL
7238,"",10,TOR
7239,8448186,8,MTL
7240,8447114,6,BOS
7241,"",19,STL
7242,8446944,16,CHI
7243,"",31,MNS
7244,8445507,19,STL
7245,"",8,MTL
7246,"",8,MTL
7247,8449305,46,OAK
7248,8448229,19,STL
7249,"",31,MNS
7250,"",8,MTL
7251,"",19,STL
7252,"",4,PHI
7253,"",19,STL
7254,"",8,MTL
7255,"",8,MTL
7256,8450308,7,BUF
7257,8451853,23,VAN
7258,8448729,6,BOS
7259,8448982,6,BOS
7260,"",8,MTL
7261,8448735,8,MTL
7262,8450490,5,PIT
7263,8451386,10,TOR
7264,8450478,6,BOS
7265,8449952,56,CGS
7266,8446634,3,NYR
7267,8447286,17,DET
7268,8451728,6,BOS
7269,8449104,16,CHI
7270,8445857,7,BUF
7271,8446698,23,VAN
7272,8446729,31,MNS
7273,8446100,4,PHI
7274,8447275,56,CGS
7275,8445274,31,MNS
7276,8449185,5,PIT
7277,8451892,10,TOR
7278,"",19,STL
7279,8447767,26,LAK
7280,8449744,3,NYR
7281,8447419,17,DET
7282,8445609,6,BOS
7283,8444969,16,CHI
7284,"",7,BUF
7285,8449913,23,VAN
7286,8455800,8,MTL
7287,8448444,4,PHI
7288,8448460,56,CGS
7289,8450235,31,MNS
7290,8445080,5,PIT
7291,8448050,10,TOR
7292,"",19,STL
7293,8446893,26,LAK
7294,"",3,NYR
7295,8448644,17,DET
7296,"",6,BOS
7297,8446976,16,CHI
7298,8449646,7,BUF
7299,"",23,VAN
7300,"",8,MTL
7301,"",4,PHI
7302,8447648,56,CGS
7303,8445807,31,MNS
7304,8446347,5,PIT
7305,8446654,10,TOR
7306,8445704,19,STL
7307,"",8,MTL
7308,"",3,NYR
7309,"",17,DET
7310,"",6,BOS
7311,8448725,16,CHI
7312,"",7,BUF
7313,"",23,VAN
7314,8451525,26,LAK
7315,"",4,PHI
7316,"",56,CGS
7317,8447376,31,MNS
7318,8445325,5,PIT
7319,"",10,TOR
7320,"",19,STL
7321,8452477,8,MTL
7322,8445501,3,NYR
7323,8447836,17,DET
7324,"",6,BOS
7325,8449550,16,CHI
7326,"",7,BUF
