name,id,birthDate
Gene Achtymichuk,achtyge01,1932-09-07
John Adams,adamsjo01,1920-05-05
Stew Adams,adamsst01,1904-10-16
Johnathan Aitken,aitkejo01,1978-05-24
Peter Allen,allenpe01,1970-03-06
Ron Anderson,anderro01,1945-07-29
Jaret Anderson-Dolan,anderja01,1999-09-12
Darrel Anholt,anholda01,1962-11-23
Oscar Asmundson,asmunos01,1908-11-17
Mark Astley,astlema01,1969-03-30
Nicolas Aubé-Kubel,aubekni01,1996-05-10
Alex Auld,auldal01,1981-01-07
Jared Aulin,aulinja01,1982-03-15
Warren Babe,babewa01,1968-09-07
Dave Babych,babycda01,1961-05-23
Wayne Babych,babycwa01,1958-06-06
Ryan Bach,bachry01,1973-10-21
Brandon Baddock,baddobr01,1995-03-29
Scott Bailey,bailesc01,1972-05-02
Carter Bancks,banckca01,1989-08-09
Frank Banham,banhafr01,1975-04-14
Doug Barkley,barkldo01,1937-01-06
Stu Barnes,barnest01,1970-12-25
Doug Barrie,barrido01,1946-10-02
Bob Bassen,bassebo01,1965-05-06
Hank Bassen,basseha01,1932-12-06
Ryan Bast,bastry01,1975-08-27
Garry Bauman,baumaga01,1940-07-21
Nolan Baumgartner,baumgno01,1976-03-23
Jay Beagle,beaglja01,1985-10-16
Jake Bean,beanja01,1998-06-09
Clayton Beddoes,beddocl01,1970-11-10
Shawn Belle,bellesh01,1985-01-03
Brian Benning,bennibr01,1966-06-10
Jim Benning,benniji01,1963-04-29
Matt Benning,bennima01,1994-05-25
Joe Benoit,benoijo01,1916-02-27
Tyler Benson,bensoty01,1998-03-15
Perry Berezan,berezpe01,1964-12-05
Mike Berger,bergemi02,1967-06-02
Matthew Berlin,berlima01,1998-01-20
Jacob Bernard-Docker,bernaja01,2000-06-30
Brad Berry,berrybr01,1965-04-01
Fred Berry,berryfr01,1956-03-26
Craig Berube,berubcr01,1965-12-17
Blair Betts,bettsbl01,1980-02-16
Larry Bignell,bignela01,1950-01-07
Brandon Biro,birobr01,1998-03-11
Mike Bishai,bishami01,1979-05-30
Tom Bladon,bladoto01,1952-12-29
Gregg Boddy,boddygr01,1949-03-19
Andrew Bodnarchuk,bodnaan01,1988-07-11
George Boothman,boothge01,1916-09-25
Jason Botterill,botteja01,1976-05-19
Tyler Bouck,bouckty01,1980-01-13
Lance Bouma,boumala01,1990-03-25
Rene Bourque,bourqre01,1981-12-10
Rollie Boutin,boutiro01,1957-11-06
Jay Bouwmeester,bouwmja01,1983-09-27
Landon Bow,bowla01,1995-08-24
Johnny Boychuk,boychjo01,1984-01-19
Zach Boychuk,boychza01,1989-10-04
Travis Brigley,brigltr01,1977-06-16
Mike Brodeur,brodemi01,1983-03-30
Kyle Brodziak,brodzky01,1984-05-25
Gary Bromley,bromlga01,1950-01-19
Gerry Brown,brownge02,1917-07-07
Gilbert Brulé,brulegi01,1987-01-01
Murray Brumwell,brumwmu01,1960-03-31
Johnny Bucyk,bucykjo01,1935-05-12
Randy Bucyk,bucykra01,1962-11-09
Norm Burns,burnsno01,1918-02-20
Rod Buskas,buskaro01,1961-01-07
Don Cairns,cairndo01,1955-10-08
Kyle Calder,caldeky01,1979-01-05
Al Cameron,cameral01,1955-10-21
Craig Cameron,camercr01,1945-07-19
Darcy Campbell,campbda02,1984-05-12
Don Campbell,campbdo01,1925-07-12
Wade Campbell,campbwa01,1961-01-02
Brian Carlin,carlibr01,1950-06-13
Daniel Carr,carrda01,1991-11-01
Gene Carrigan,carrige01,1907-07-05
Bill Carse,carsebi01,1914-05-29
Bob Carse,carsebo01,1919-07-19
John Chad,chadjo01,1919-09-16
Todd Charlesworth,charlto01,1965-03-22
Jason Chimera,chimeja01,1979-05-02
Kyle Chipchura,chipcky01,1986-02-19
Colin Chisholm,chishco01,1963-02-25
Erik Christensen,chriser01,1983-12-17
Dean Chynoweth,chynode01,1968-10-30
