id,name,hrID
8444924,Jim Anderson,anderji01
8444926,Murray Anderson,andermu01
8444995,Pete Backor,backope01
8444893,Jim Agnew,agnewji01
8444890,Dennis Abgrall,abgrade01
8444897,Keith Acton,actonke01
8444882,Earl Anderson,anderea01
8444899,Rick Adduono,adduori01
8444892,Thommy Abrahamsson,abrahth01
8444898,Greg Adams,adamsgr01
8444900,Allen Aime
8444905,Bruce Affleck,afflebr01
8444894,Greg Adams,adamsgr01
8444896,Russ Adam,adamru01
8444914,Mike Allison,allismi01
8444912,Steve Alley,alleyst01
8444919,Tommy Albelin,albelto01
8444917,Dave Allison,allisda01
8444913,Ray Allison,allisra01
8444928,Ron Anderson,anderro01
8444929,Ron Anderson,anderro01
8444923,Mike Amodeo,amodemi01
8444918,Brad Aitken,aitkebr01
8444908,Fred Ahern,ahernfr01
8444996,Ralph Backstrom,backsra01
8444999,Ron Andruff,andruro01
8444992,Pete Babando,babanpe01
8444998,Ace Bailey,baileac01
8444997,Garnet Bailey
8444854,Reg Abbott,abbotre01
8444850,Henry Harris,harrihe01
8444852,Ron Hudson,hudsoro01
8444858,Gene Achtymichuk,achtyge01
8444855,Clarence Abel,abelcl01
8444861,Jack Adams,adamsja01
8444860,Doug Adam
8444856,Gerry Abel,abelge01
8444859,Doug Acomb,acombdo01
8444857,Sid Abel,abelsi01
8444851,Gordon Spence,spencgo01
8444988,Don Awrey,awreydo01
8444876,Dave Amadio,amadida01
8444862,John Adams,adamsjo03
8444853,Norm Johnson,johnsno01
8444865,Chris Ahrens,ahrench01
8444877,Bill Anderson,anderbi01
8444984,Steve Atkinson,atkinst01
8444985,Ron Attwell,attwero01
8444980,Barry Ashbee,ashbeba01
8444983,Walt Atanas,atanawa01
8444986,Ozzie Aubuchon
8444989,Vern Ayres,ayresve01
8444982,Ossie Asmundson
8444981,Frank Ashworth,ashwofr01
8444993,Mitch Babin,babinmi01
8444987,Larry Aurie,auriela01
8444979,John Arundel,arundjo01
8444977,Bruce Andres
8444971,George Armstrong,armstge01
8444972,Murray Armstrong,armstmu01
8444970,Bob Armstrong,armstbo01
8444962,Peter Andersson,anderpe04
8444969,Michel Archambault,archami01
8444963,Mikael Andersson,andermi01
8444961,Russ Anderson,anderru01
8444978,Ralph Andreesen
8444964,Jack Arbour,arbouja01
8444966,John Arbour,arboujo01
8444967,Ty Arbour,arbouty01
8444973,Norm Armstrong,armstno01
8444952,Lou Angotti,angotlo01
8444955,Al Arbour,arboual01
8444954,Syl Apps,appssy01
8444957,Shawn Anderson,andersh01
8444956,Amos Arbour,arbouam01
8444953,Hub Anslow,anslohu01
8444943,Kent-Erik Andersson,anderke01
8444945,Glenn Anderson,andergl01
8444944,John Anderson,anderjo01
8444947,Perry Anderson,anderpe01
8444934,Paul Andrea,andrepa01
8444936,Lloyd Andrews,andrell01
8444933,Steve Andrascik,andrast01
8444931,Tom Anderson,anderto01
8444871,George Allen,allenge01
8444874,Viv Allen,allenvi01
8444870,Art Alexandre,alexaar01
8444869,Claire Alexander,alexacl01
8444866,Lloyd Ailsby,ailsbll01
8444864,Rudy Ahlin,ahlinru01
8444867,Clint Albright,albricl01
8444875,Bill Allum,allumbi01
8444873,Keith Allen,allenke01
8444872,Jeff Allan,allanje01
8444879,Doug Anderson,anderdo01
8444878,Dale Anderson,anderda01
8444868,Gary Aldcorn,aldcoga01
8444863,Stew Adams,adamsst01
8445015,Mike Antonovich,antonmi01
8445019,Bill Barilko,barilbi01
8445018,Andy Barbe,barbean01
8445017,Shawn Antoski,antossh01
8445035,Mike Baumgartner,baumgmi01
8445028,Jimmy Bartlett
8445037,Red Beattie,beattre01
8445040,James Bedard,bedarja01
8445024,Doug Barrie,barrido01
8445033,Frank Bathgate,bathgfr01
8445036,Bob Baun,baunbo01
8445022,Syl Apps Jr.
8445034,Bobby Bauer,bauerbo01
8445039,Bob Beckett,beckebo01
8445029,Cliff Barton,bartocl01
8445026,Marty Barry,barryma01
8445021,Bob Barlow,barlobo01
8445032,Andy Bathgate,bathgan02
8445020,Doug Barkley,barkldo01
8445041,Dick Behling,behlidi01
8445025,Ed Barry,barryed01
8445027,Ray Barry,barryra01
8445042,Frank Beisler,beislfr01
8445046,Joe Bell,belljo01
8445038,Norm Beaudin,beaudno01
8445043,Danny Belisle,belisda01
8445054,Jim Archibald,archiji01
8445045,Harry Bell
8445044,Billy Bell,bellbi01
8445049,Andy Bellemer,bellean01
8445053,Dave Archibald,archida01
8445063,Max Bentley,bentlma01
8445064,Reg Bentley,bentlre01
8445058,Ron Areshenkoff,areshro01
8445059,Joe Benoit,benoijo01
8445061,Bobby Benson,bensobo01
8445057,Max Bennett,bennema01
8445055,Frank Bennett,bennefr01
8445056,Harvey Bennett,benneha01
8445050,Dave Archambault
8445051,Lin Bend,bendli01
8445047,Pete Bellefeuille,bellepe01
8445070,Gary Bergman,bergmga01
8445067,Red Berenson,berenre01
8445069,Yves Bergeron,bergeyv01
