id,name,abbreviation,nicknames,colors,logo,isActive
1,NEW JERSEY DEVILS,NJD,DEVS,"#CE1126,#000,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/New_Jersey_Devils_logo.svg/594px-New_Jersey_Devils_logo.svg.png,true
2,NEW YORK ISLANDERS,NYI,"ISLES,FISHSTICKS,FISH STICKS","#00539B,#F47D30",https://upload.wikimedia.org/wikipedia/en/thumb/4/42/Logo_New_York_Islanders.svg/440px-Logo_New_York_Islanders.svg.png,true
3,NEW YORK RANGERS,NYR,"BLUESHIRTS,RAGS","#0038A8,#C31126,#FFF",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/New_York_Rangers.svg/440px-New_York_Rangers.svg.png,true
4,PHILADELPHIA FLYERS,PHI,BROAD ST. BULLIES,"#F74902,#000,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Philadelphia_Flyers.svg/440px-Philadelphia_Flyers.svg.png,true
5,PITTSBURGH PENGUINS,PIT,"SHITTSBURGH,PENS","#FCB514,#000,#CFC493,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Pittsburgh_Penguins_logo_%282016%29.svg/440px-Pittsburgh_Penguins_logo_%282016%29.svg.png,true
6,BOSTON BRUINS,BOS,"B'S,BIG BAD BRUINS,BLACK AND GOLD","#FFB81C,#000",https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Boston_Bruins.svg/440px-Boston_Bruins.svg.png,true
7,BUFFALO SABRES,BUF,"SWORDS,SLUGS","#002654,#FCB514,#ADAFAA,#C8102E",https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Buffalo_Sabres_Logo.svg/440px-Buffalo_Sabres_Logo.svg.png,true
8,MONTREAL CANADIENS,MTL,"HABS,HABITANTS,BLEU-BLANC-ROUGE,TOILET BOWLS","#AF1E2D,#192168",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Montreal_Canadiens.svg/440px-Montreal_Canadiens.svg.png,true
9,OTTAWA SENATORS,OTT,SENS,"#C52032,#C2912C,#000,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Ottawa_Senators.svg/440px-Ottawa_Senators.svg.png,true
10,TORONTO MAPLE LEAFS,TOR,"LEAFS,CRY BABIES","#00205B,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Toronto_Maple_Leafs_2016_logo.svg/440px-Toronto_Maple_Leafs_2016_logo.svg.png,true
