id,playerId,playerName,birthDate,triCode,draftDate
19344,8484801,Macklin Celebrini,2006-06-13,SJS,2024-06-28
19345,8484783,Artyom Levshunov,2005-10-28,CHI,2024-06-28
19346,8484762,Beckett Sennecke,2006-01-28,ANA,2024-06-28
19347,8484780,Cayden Lindstrom,2006-02-03,CBJ,2024-06-28
19348,8484984,Ivan Demidov,2005-12-10,MTL,2024-06-28
19349,8484795,Tij Iginla,2006-08-04,UTA,2024-06-28
19350,8484759,Carter Yakemchuk,2005-09-29,OTT,2024-06-28
19351,8484800,Berkly Catton,2006-01-14,SEA,2024-06-28
19352,8484768,Zayne Parekh,2006-02-15,CGY,2024-06-28
19353,8484987,Anton Silayev,2006-04-11,NJD,2024-06-28
19354,8484806,Sam Dickinson,2006-06-07,SJS,2024-06-28
19355,8484798,Zeev Buium,2005-12-07,MIN,2024-06-28
19356,8484779,Jett Luchanko,2006-08-21,PHI,2024-06-28
19357,8484797,Konsta Helenius,2006-05-11,BUF,2024-06-28
19358,8484794,Michael Brandsegg-Nygård,2005-10-05,DET,2024-06-28
19359,8484790,Adam Jiricek,2006-06-28,STL,2024-06-28
19360,8484769,Terik Parascak,2006-05-28,WSH,2024-06-28
19361,8484793,Sacha Boisvert,2006-03-17,CHI,2024-06-28
19362,8484803,Trevor Connelly,2006-02-28,VGK,2024-06-28
19363,8484807,Cole Eiserman,2006-08-29,NYI,2024-06-28
19364,8484799,Michael Hage,2006-04-14,MTL,2024-06-28
19365,8484993,Egor Surin,2006-08-01,NSH,2024-06-28
19366,8484859,Stian Solberg,2005-12-29,ANA,2024-06-28
19367,8484786,Cole Beaudoin,2006-04-24,UTA,2024-06-28
19368,8484879,Dean Letourneau,2006-02-21,BOS,2024-06-28
19369,8484802,Liam Greentree,2006-01-01,LAK,2024-06-28
19370,8484761,Marek Vanacker,2006-04-12,CHI,2024-06-28
19371,8484860,Matvei Gridin,2006-03-01,CGY,2024-06-28
19372,8484796,Emil Hemming,2006-06-27,DAL,2024-06-28
19373,8484848,EJ Emery,2006-03-30,NYR,2024-06-28
19374,8484805,Ben Danford,2006-02-06,TOR,2024-06-28
19375,8484770,Sam O'Reilly,2006-03-30,EDM,2024-06-28
19376,8484994,Igor Chernyshov,2005-11-30,SJS,2024-06-29
19377,8484781,Dominik Badinka,2005-11-27,CAR,2024-06-29
19378,8484767,Lucas Pettersson,2006-04-17,ANA,2024-06-29
19379,8484808,Charlie Elick,2006-01-17,CBJ,2024-06-29
19380,8484854,Alfons Freij,2006-02-12,WPG,2024-06-29
19381,8484996,Ilya Nabokov,2003-03-27,COL,2024-06-29
19382,8484847,Gabriel Eliasson,2006-09-09,OTT,2024-06-29
19383,8484773,Julius Miettinen,2006-01-20,SEA,2024-06-29
19384,8484782,Andrew Basha,2005-11-08,CGY,2024-06-29
19385,8484875,Adam Kleber,2006-03-24,BUF,2024-06-29
19386,8484873,Cole Hutson,2006-06-28,WSH,2024-06-29
19387,8484839,Harrison Brunicke,2006-05-08,PIT,2024-06-29
19388,8484765,Ryder Ritchie,2006-08-03,MIN,2024-06-29
19389,8484869,Tanner Howe,2005-11-28,PIT,2024-06-29
19390,8484870,Max Plante,2006-02-20,DET,2024-06-29
19391,8484865,Colin Ralph,2005-10-04,STL,2024-06-29
19392,8484843,Mikhail Yegorov,2006-03-07,NJD,2024-06-29
19393,8484995,Nikita Artamonov,2005-11-17,CAR,2024-06-29
19394,8484837,Jack Berglund,2006-04-10,PHI,2024-06-29
19395,8484772,Leon Muggli,2006-07-09,WSH,2024-06-29
19396,8484763,Leo Sahlin Wallenius,2006-04-10,SJS,2024-06-29
19397,8484766,Jesse Pulkkinen,2004-12-27,NYI,2024-06-29
19398,8484856,Teddy Stiga,2006-04-05,NSH,2024-06-29
19399,8484810,Lukas Fischer,2006-09-09,STL,2024-06-29
19400,8484857,Carter George,2006-05-20,LAK,2024-06-29
19401,8484850,Linus Eriksson,2006-03-23,FLA,2024-06-29
19402,8484804,Spencer Gill,2006-08-17,PHI,2024-06-29
19403,8484997,Evan Gardner,2006-01-25,CBJ,2024-06-29
19404,8484788,Kamil Bednarik,2006-05-26,NYI,2024-06-29
19405,8484785,Jacob Battaglia,2006-03-17,CGY,2024-06-29
19406,8484760,Nathan Villeneuve,2006-04-13,SEA,2024-06-29
19407,8484881,Eemil Vinni,2005-12-18,EDM,2024-06-29
19408,8484863,Will Skahan,2006-05-14,UTA,2024-06-29
19409,8484776,Maxim Massé,2006-04-07,ANA,2024-06-29
19410,8484771,John Mustard,2006-08-16,CHI,2024-06-29
19411,8484867,Ethan Procyszyn,2006-07-11,ANA,2024-06-29
