id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince,hrID,hdbID,verified,name
8445015,https://assets.nhle.com/mugs/nhl/19821983/NJD/8445015.png,Mike,Antonovich,23,C,L,68,165,173,75,1951-10-18,Calumet,USA,Minnesota,"","",false,Mike Antonovich
8445118,https://assets.nhle.com/mugs/nhl/19821983/NJD/8445118.png,Brent,Ashton,15,L,L,73,210,185,95,1960-05-18,Saskatoon,CAN,Saskatchewan,"","",false,Brent Ashton
8445725,https://assets.nhle.com/mugs/nhl/19821983/NJD/8445725.png,Aaron,Broten,10,C,L,70,180,178,82,1960-11-14,Roseau,USA,Minnesota,"","",false,Aaron Broten
8445878,https://assets.nhle.com/mugs/nhl/19821983/NJD/8445878.png,Dave,Cameron,10,C,L,72,185,183,84,1958-07-29,Charlottetown,CAN,Prince Edward Island,"","",false,Dave Cameron
8446870,https://assets.nhle.com/mugs/nhl/19821983/NJD/8446870.png,Larry,Floyd,27,C,L,68,180,173,82,1961-05-01,Peterborough,CAN,Ontario,"","",false,Larry Floyd
8446939,https://assets.nhle.com/mugs/nhl/19821983/NJD/8446939.png,Dwight,Foster,20,R,R,70,190,178,86,1957-04-02,Toronto,CAN,Ontario,"","",false,Dwight Foster
8446993,https://assets.nhle.com/mugs/nhl/19821983/NJD/8446993.png,Paul,Gagne,17,L,L,70,180,178,82,1962-02-06,Iroquois Falls,CAN,Ontario,"","",false,Paul Gagne
8447995,https://assets.nhle.com/mugs/nhl/19821983/NJD/8447995.png,Garry,Howatt,8,L,R,69,175,175,79,1952-09-26,Grande Cache,CAN,Alberta,"","",false,Garry Howatt
8448706,https://assets.nhle.com/mugs/nhl/19821983/NJD/8448706.png,Jeff,Larmer,10,L,L,70,175,178,79,1962-11-10,Peterborough,CAN,Ontario,"","",false,Jeff Larmer
8448808,https://assets.nhle.com/mugs/nhl/19821983/NJD/8448808.png,Don,Lever,9,C,L,70,185,178,84,1952-11-14,South Porcupine,CAN,Ontario,"","",false,Don Lever
8448844,https://assets.nhle.com/mugs/nhl/19821983/NJD/8448844.png,Jan,Ludvig,29,R,R,68,194,173,88,1961-09-17,Liberec,CZE,"","",false,"",Jan Ludvig
8448991,https://assets.nhle.com/mugs/nhl/19821983/NJD/8448991.png,Bob,MacMillan,12,R,L,71,185,180,84,1952-12-03,Charlottetown,CAN,Prince Edward Island,"","",false,Bob MacMillan
8449100,https://assets.nhle.com/mugs/nhl/19821983/NJD/8449100.png,Merlin,Malinowski,16,C,L,72,189,183,86,1958-09-27,North Battleford,CAN,Saskatchewan,"","",false,Merlin Malinowski
8449140,https://assets.nhle.com/mugs/nhl/19821983/NJD/8449140.png,Hector,Marini,20,R,R,72,205,183,93,1957-01-27,Timmins,CAN,Ontario,"","",false,Hector Marini
8449535,https://assets.nhle.com/mugs/nhl/19821983/NJD/8449535.png,Rick,Meagher,22,C,L,68,191,173,87,1953-11-02,Belleville,CAN,Ontario,"","",false,Rick Meagher
8449565,https://assets.nhle.com/mugs/nhl/19821983/NJD/8449565.png,Glenn,Merkosky,32,L,L,70,185,178,84,1960-04-08,Edmonton,CAN,Alberta,"","",false,Glenn Merkosky
8449656,https://assets.nhle.com/mugs/nhl/19821983/NJD/8449656.png,Mike,Moher,28,R,R,70,174,178,79,1962-03-26,Manitouwadge,CAN,Ontario,"","",false,Mike Moher
8450384,https://assets.nhle.com/mugs/nhl/19821983/NJD/8450384.png,Randy,Pierce,7,R,R,72,187,183,85,1957-11-23,Arnprior,CAN,Ontario,"","",false,Randy Pierce
8450501,https://assets.nhle.com/mugs/nhl/19821983/NJD/8450501.png,Jukka,Porvari,11,R,L,70,174,178,79,1954-01-19,Tampere,FIN,"","",false,"",Jukka Porvari
