id,franchiseId,fullName,leagueId,rawTricode,triCode,colors,logo,isActive,start,end
11,35,Atlanta Thrashers,133,ATL,ATL,#5C88DA/#041E42/#862633/#B76125/#FFA300/#FFF,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Atlanta_Thrashers.svg/440px-Atlanta_Thrashers.svg.png,false,"",""
34,26,Hartford Whalers,133,HFD,HFD,#00B140/#005EB8/#00205B/#046A38/#FED000/#8D9093/#000/#FFF,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Hartford_Whalers_Logo-79-92.svg/440px-Hartford_Whalers_Logo-79-92.svg.png,false,"",""
31,15,Minnesota North Stars,133,MNS,MNS,#009639/#FFD100/#000/#FFF,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Minnesota_North_Stars_Logo_2.svg/440px-Minnesota_North_Stars_Logo_2.svg.png,false,"",""
32,27,Quebec Nordiques,133,QUE,QUE,#005EBB/#DA291C/#FFF,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Quebec_Nordiques_Logo.svg/440px-Quebec_Nordiques_Logo.svg.png,false,"",""
33,28,Winnipeg Jets (1979),133,WIN,WIN,#041E42/#004C97/#AC162C/#7B303E/#55565A/#8E9090/#FFF,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Winnipeg_Jets_Logo_2011.svg/440px-Winnipeg_Jets_Logo_2011.svg.png,false,"",""
35,23,Colorado Rockies,133,CLR,CLR,,"",false,"",""
36,3,Ottawa Senators (1917),133,SEN,SEN,,"",false,"",""
37,4,Hamilton Tigers,133,HAM,HAM,#000/#FFC727/#FFF,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Hamilton_Tigers_Logo.svg/440px-Hamilton_Tigers_Logo.svg.png,false,"",""
38,9,Pittsburgh Pirates,133,PIR,PIR,#000/#FCB932/#FFF/#F87A36,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Pittsburgh_Pirates_Logo.svg/440px-Pittsburgh_Pirates_Logo.svg.png,false,"",""
39,9,Philadelphia Quakers,133,QUA,QUA,#000/#F87A36/#FFF,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Logo_Philadelphia_Quakers.svg/440px-Logo_Philadelphia_Quakers.svg.png,false,1930,1931
40,12,Detroit Cougars,133,DCG,DCG,,"",false,"",""
41,2,Montreal Wanderers,133,MWN,MWN,#FFF/#E4002B,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Montreal_Wanderers_logo.svg/440px-Montreal_Wanderers_logo.svg.png,false,1917,1918
42,4,Quebec Bulldogs,133,QBD,QBD,#3E5EFF/#FFF,https://upload.wikimedia.org/wikipedia/commons/7/75/QuebecBulldogs.png,false,"",""
43,7,Montreal Maroons,133,MMR,MMR,#FFF/#6F263D,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Montreal_Maroons_Logo.svg/440px-Montreal_Maroons_Logo.svg.png,false,1924,1938
44,8,New York Americans,133,NYA,NYA,#0038A8/#C31126/#FFF,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/New_York_Americans_Logo.svg/440px-New_York_Americans_Logo.svg.png,false,"",""
45,3,St. Louis Eagles,133,SLE,SLE,#C60C30/#FFF,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/St._Louis_Eagles_logo.svg/440px-St._Louis_Eagles_logo.svg.png,false,1934,1935
46,13,Oakland Seals,133,OAK,OAK,#046A38/#0033A0/#FFF/#FFC72C/#009CA6,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/California_Golden_Seals_Logo.svg/440px-California_Golden_Seals_Logo.svg.png,false,"",""
47,21,Atlanta Flames,133,AFM,AFM,#C52032/#C2912C/#FFF,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Atlanta_Flames_Logo.svg/440px-Atlanta_Flames_Logo.svg.png,false,"",""
48,23,Kansas City Scouts,133,KCS,KCS,#003087/#C8102e/#FFC72C/#FFF,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Kansas_City_Scouts_logo.svg/440px-Kansas_City_Scouts_logo.svg.png,false,1974,1976
49,13,Cleveland Barons,133,CLE,CLE,#C8102E/#000/#FFF,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Cleveland_Barons_%28NHL%29_logo.svg/440px-Cleveland_Barons_%28NHL%29_logo.svg.png,false,"",""
50,12,Detroit Falcons,133,DFL,DFL,,"",false,"",""
51,8,Brooklyn Americans,133,BRK,BRK,,"",false,"",""
56,13,California Golden Seals,133,CGS,CGS,#046A38/#0033A0/#FFF/#FFC72C/#009CA6,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/California_Golden_Seals_Logo.svg/440px-California_Golden_Seals_Logo.svg.png,false,"",""
57,5,Toronto Arenas,133,TAN,TAN,#003087,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Toronto_Arenas_Logo.svg/440px-Toronto_Arenas_Logo.svg.png,false,1917,1918
